,sampletype
GSM271511,Control
GSM271512,Control
GSM271513,Control
GSM271514,Control
GSM271515,Control
GSM271516,Control
GSM271517,Control
GSM271518,Control
GSM271519,Control
GSM271520,Control
GSM271521,Control
GSM271522,Control
GSM271523,Control
GSM271524,Control
GSM271525,Control
GSM271526,Control
GSM271527,Control
GSM271528,Control
GSM271529,Control
GSM271530,Control
GSM271531,Control
GSM271532,Control
GSM271533,Control
GSM271534,Control
GSM271535,Control
GSM271536,Control
GSM271537,Control
GSM271538,Control
GSM271539,Control
GSM271540,Control
GSM271541,FSHD
GSM271542,FSHD
GSM271543,FSHD
GSM271544,FSHD
GSM271545,FSHD
GSM271546,FSHD
GSM271547,FSHD
GSM271548,FSHD
GSM271549,FSHD
GSM271550,FSHD
GSM271551,FSHD
GSM271552,FSHD
GSM271553,FSHD
GSM271554,FSHD
GSM271555,FSHD
GSM271556,FSHD
GSM271557,FSHD
GSM271558,FSHD
GSM271559,FSHD
GSM271560,Control
GSM271561,Control
GSM271562,Control
GSM271563,Control
GSM271564,Control
GSM271565,Control
GSM271566,Control
GSM271567,Control
GSM271568,Control
GSM271569,Control
GSM271570,Control
GSM271571,Control
GSM271572,Control
GSM271573,Control
GSM271574,Control
GSM271575,Control
GSM271576,Control
GSM271577,Control
GSM271578,Control
GSM271579,Control
GSM271580,Control
GSM271581,Control
GSM271582,Control
GSM271583,Control
GSM271584,Control
GSM271585,Control
GSM271586,Control
GSM271587,Control
GSM271588,Control
GSM271589,Control
GSM271590,FSHD
GSM271591,FSHD
GSM271592,FSHD
GSM271593,FSHD
GSM271594,FSHD
GSM271595,FSHD
GSM271596,FSHD
GSM271597,FSHD
GSM271598,FSHD
GSM271599,FSHD
GSM271600,FSHD
GSM271601,FSHD
GSM271602,FSHD
GSM271603,FSHD
GSM271604,FSHD
GSM271605,FSHD
GSM271606,FSHD
GSM271607,FSHD
GSM271608,FSHD
